run_id,site_id,issued_at,target_time,horizon_step,lead_hours,model_version,weather_version,quality_flag,prediction
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-03T19:00:00Z,1,1,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.2690396746570233
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-03T20:00:00Z,2,2,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.25295017390713725
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-03T21:00:00Z,3,3,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.26203812512808844
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-03T22:00:00Z,4,4,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.21217287153446107
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-03T23:00:00Z,5,5,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.2203286786894643
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T00:00:00Z,6,6,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.4366380757648597
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T01:00:00Z,7,7,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.2262463836164387
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T02:00:00Z,8,8,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.11523739365963823
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T03:00:00Z,9,9,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.08500672321758729
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T04:00:00Z,10,10,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.043451120262058246
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T05:00:00Z,11,11,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.0146681957896789
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T06:00:00Z,12,12,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.03519675385249388
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T07:00:00Z,13,13,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.08104556753676093
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T08:00:00Z,14,14,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.11066975541228782
forecast-4c8b42ac49529cf2b25eec29,turbine_1,2026-02-03T18:00:00Z,2026-02-04T09:00:00Z,15,15,ml-9ffc3398a6c80f479aed4063,gfs-b4d00e6266f5ff6c7fa4ac5d,verified_object_version,0.14255293228025975
