run_id,site_id,issued_at,target_time,horizon_step,lead_hours,model_version,weather_version,quality_flag,prediction
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-02T19:00:00Z,1,1,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.1404880618686361
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-02T20:00:00Z,2,2,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.19556734878378715
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-02T21:00:00Z,3,3,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.22061384822760408
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-02T22:00:00Z,4,4,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.3790349347042423
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-02T23:00:00Z,5,5,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.38566031441476434
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-03T00:00:00Z,6,6,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.331628471011867
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-03T01:00:00Z,7,7,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.17860203753219947
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-03T02:00:00Z,8,8,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.0680808953827732
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-03T03:00:00Z,9,9,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.05628908270661076
forecast-54c0371c19e2b7e7d2e7ec7a,turbine_1,2026-02-02T18:00:00Z,2026-02-03T04:00:00Z,10,10,ml-9ffc3398a6c80f479aed4063,gfs-c8b3ddf3d8764019d569b37f,verified_object_version,0.08511145502360631
