run_id,site_id,issued_at,target_time,horizon_step,lead_hours,model_version,weather_version,quality_flag,prediction
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-08T19:00:00Z,1,1,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9631191454291552
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-08T20:00:00Z,2,2,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9504430088001343
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-08T21:00:00Z,3,3,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9427299857639669
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-08T22:00:00Z,4,4,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9190485116790909
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-08T23:00:00Z,5,5,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9017881899011576
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T00:00:00Z,6,6,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9011282002325799
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T01:00:00Z,7,7,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9009559010833602
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T02:00:00Z,8,8,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.875548924753721
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T03:00:00Z,9,9,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.8922743774800618
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T04:00:00Z,10,10,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9295258177723073
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T05:00:00Z,11,11,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9545984727736482
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T06:00:00Z,12,12,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.95588456243432
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T07:00:00Z,13,13,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9511560962457564
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T08:00:00Z,14,14,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9678355332077562
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T09:00:00Z,15,15,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9695040661703846
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T10:00:00Z,16,16,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9730147936301096
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T11:00:00Z,17,17,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.9677708523737729
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T12:00:00Z,18,18,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.820439093388422
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T13:00:00Z,19,19,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.2185446448809051
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T14:00:00Z,20,20,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.10991941218436847
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T15:00:00Z,21,21,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.08064180749436835
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T16:00:00Z,22,22,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.04692660519407765
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T17:00:00Z,23,23,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.029971429827445162
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T18:00:00Z,24,24,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.022750567501899854
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T19:00:00Z,25,25,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.016945517759206052
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T20:00:00Z,26,26,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.014334814744650481
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T21:00:00Z,27,27,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.016232366576193702
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T22:00:00Z,28,28,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.024021999015233386
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-09T23:00:00Z,29,29,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.09328560848124456
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T00:00:00Z,30,30,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.22926351898163366
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T01:00:00Z,31,31,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.3319093742517902
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T02:00:00Z,32,32,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.22331561678665773
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T03:00:00Z,33,33,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.19736446106664127
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T04:00:00Z,34,34,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.1673189016585177
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T05:00:00Z,35,35,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.23250213895754443
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T06:00:00Z,36,36,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.28872709905463234
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T07:00:00Z,37,37,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.18684821422959205
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T08:00:00Z,38,38,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.10866174877229284
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T09:00:00Z,39,39,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.11546213544518469
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T10:00:00Z,40,40,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.09973202993142513
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T11:00:00Z,41,41,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.07355615037817231
forecast-a676b2feca459dd4f493e9c6,turbine_2,2026-02-08T18:00:00Z,2026-02-10T12:00:00Z,42,42,ml-03e3b3999293875db412a925,gfs-15849efe12ca8a2194ecd248,verified_object_version,0.058054402024263124
