run_id,site_id,issued_at,target_time,horizon_step,lead_hours,model_version,weather_version,quality_flag,prediction
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-14T19:00:00Z,1,1,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.019045739894265168
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-14T20:00:00Z,2,2,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.01742571730173892
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-14T21:00:00Z,3,3,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.022550425884730885
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-14T22:00:00Z,4,4,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.015158728641160413
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-14T23:00:00Z,5,5,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.02007005576790477
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T00:00:00Z,6,6,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.07293855710006186
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T01:00:00Z,7,7,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.16820711664259014
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T02:00:00Z,8,8,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.2064156955584723
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T03:00:00Z,9,9,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.2052087150345287
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T04:00:00Z,10,10,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.4416699012621538
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T05:00:00Z,11,11,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.7661401965922199
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T06:00:00Z,12,12,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.8427229777772197
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T07:00:00Z,13,13,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.9021124541620396
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T08:00:00Z,14,14,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.8769554216721496
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T09:00:00Z,15,15,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.7726751498485148
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T10:00:00Z,16,16,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.8176183874270967
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T11:00:00Z,17,17,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.7908427078321097
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T12:00:00Z,18,18,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.7375555043594479
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T13:00:00Z,19,19,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.6583604725287606
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T14:00:00Z,20,20,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.6499595409148545
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T15:00:00Z,21,21,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.673935901219249
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T16:00:00Z,22,22,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.6533450370233381
forecast-f5117e0d34e3b8589a88db80,turbine_2,2026-02-14T18:00:00Z,2026-02-15T17:00:00Z,23,23,ml-03e3b3999293875db412a925,gfs-777fa5425591e5578f2ab5ea,verified_object_version,0.7096088443230908
