run_id,site_id,issued_at,target_time,horizon_step,lead_hours,model_version,weather_version,quality_flag,prediction
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-17T19:00:00Z,1,1,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.8701418074885615
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-17T20:00:00Z,2,2,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.7822788558952671
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-17T21:00:00Z,3,3,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.8177674737395118
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-17T22:00:00Z,4,4,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.7957181649358442
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-17T23:00:00Z,5,5,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.7707638696966486
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T00:00:00Z,6,6,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.7700144285423556
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T01:00:00Z,7,7,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.8221947569230308
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T02:00:00Z,8,8,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.758820446795116
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T03:00:00Z,9,9,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.7901755062578839
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T04:00:00Z,10,10,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.9123021784977523
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T05:00:00Z,11,11,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.9440706651775594
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T06:00:00Z,12,12,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.9582954801877429
forecast-fce499b0deb36b03f5c4b444,turbine_2,2026-02-17T18:00:00Z,2026-02-18T07:00:00Z,13,13,ml-03e3b3999293875db412a925,gfs-2a3e38b40450fa05a15b4ac1,verified_object_version,0.9602682397903941
